"name","number","start_year","end_year","supplier","latitude","longitude","elevation"
"SILVERSPUR","41151","1903","1942","Bureau of Meteorology","-28.8667","151.2667","330.0"
"LANGLEY TM","41152","2001","","Bureau of Meteorology","-27.9753","150.9225","360.0"
"BON ACCORD","41153","1885","1931","Bureau of Meteorology","-27.6","151.2","351.0"
"BLINKBONNIE","41154","1887","1934","Bureau of Meteorology","-28.15","152.1","498.0"
"BALLANDEAN","41155","1893","1929","Bureau of Meteorology","-28.8","151.8","797.0"
"BRAESIDE","41156","1885","1980","Bureau of Meteorology","-28.4","151.9","775.0"
"BRI BRI","41157","1888","1911","Bureau of Meteorology","-27.6833","151.95","521.0"
"YANDILLA","41158","1876","1933","Bureau of Meteorology","-27.85","151.3667","372.0"
"TOOWOOMBA SPRING ST","41159","1941","1947","Bureau of Meteorology","-27.55","151.9667","651.0"
"MAIANBAR","41160","1888","1938","Bureau of Meteorology","-28.0","152.15","646.0"
"LEMON TREE","41161","1890","1921","Bureau of Meteorology","-27.8","151.2833","377.0"
"BYBERA TM","41162","2000","","Bureau of Meteorology","-28.2694","150.8106","290.0"
"MACLAGAN STORE","41163","1912","1995","Bureau of Meteorology","-27.0867","151.6333","351.0"
"BADGERY FOREST STATION","41164","1965","1976","Bureau of Meteorology","-28.2333","150.9","335.4"
"BONNIE BRAE","41165","1913","1991","Bureau of Meteorology","-28.295","152.42","990.0"
"SPRINGSIDE","41166","1959","","Bureau of Meteorology","-27.6764","151.6022","503.0"
"HELENVALE","41167","1919","","Bureau of Meteorology","-28.171","152.2761","549.0"
"ROSEVALE","41168","1913","","Bureau of Meteorology","-26.7064","151.3025","465.0"
"KERIMBILLA TM","41169","2000","","Bureau of Meteorology","-28.3911","150.4825","225.0"
"AUBIGNY PURRAWUNDA","41170","1959","","Bureau of Meteorology","-27.5433","151.6383","495.0"
"LINTHORPE","41171","1960","1966","Bureau of Meteorology","-27.6","151.6333","548.6"
"BUNYA MOUNTAINS","41172","1959","1969","Bureau of Meteorology","-26.9","151.6167","1005.8"
"MYUNA","41173","1929","1987","Bureau of Meteorology","-28.1667","151.6","463.0"
"NUNKERI","41174","1947","1993","Bureau of Meteorology","-27.3861","151.3783","350.0"
"APPLETHORPE","41175","1965","","Bureau of Meteorology","-28.6217","151.9533","871.6"
"WARWICK DRAGON ST","41176","1967","1994","Bureau of Meteorology","-28.2247","152.0258","477.1"
"YASMAR","41177","1959","2001","Bureau of Meteorology","-27.7167","151.9667","671.0"
"WYNDON","41178","1959","1963","Bureau of Meteorology","-28.05","151.3833","451.1"
"WYOBIE","41179","1958","","Bureau of Meteorology","-26.8958","151.0864","335.0"
"WOODBINE","41180","1959","1982","Bureau of Meteorology","-27.7333","151.5333","427.0"
"WILKIE","41181","1958","1962","Bureau of Meteorology","-27.05","151.0","323.1"
"WHITTAKER","41182","1958","","Bureau of Meteorology","-27.1842","151.5696","410.0"
"MOUNT KENT WHEATVILLE","41183","1959","1984","Bureau of Meteorology","-27.8333","151.8","527.0"
"WHARETARE","41184","1958","1960","Bureau of Meteorology","-26.7167","151.3833","579.0"
"WESTHALL","41185","1959","1975","Bureau of Meteorology","-28.15","152.1167","524.3"
"WAVERLEY","41186","1959","1964","Bureau of Meteorology","-28.3833","152.2","506.0"
"WAVERLEY","41187","1959","2002","Bureau of Meteorology","-27.0017","150.9767","317.0"
"WATTLE PARK","41188","1959","1980","Bureau of Meteorology","-26.9667","150.7333","320.0"
"WARAHGAI","41189","1959","2010","Bureau of Meteorology","-28.2367","151.535","488.0"
"WAIHI","41190","1958","1999","Bureau of Meteorology","-26.9169","151.2825","402.0"
"VICTORY DOWNS","41191","1958","","Bureau of Meteorology","-27.2627","151.3747","358.0"
"VALHALLA","41192","1959","","Bureau of Meteorology","-28.3692","151.7964","705.0"
"WHEATVALE UPPER","41193","1959","1976","Bureau of Meteorology","-28.1667","151.9","442.0"
"URALLA","41194","1959","1977","Bureau of Meteorology","-27.1167","151.1167","330.0"
"TYRISH","41195","1958","1971","Bureau of Meteorology","-26.8833","151.4167","476.0"
"TUMMAVILLE","41196","1959","1977","Bureau of Meteorology","-27.8833","151.5","408.4"
"KUMBARILLA LANE","41197","1959","2009","Bureau of Meteorology","-27.3206","150.8725","370.0"
"TINGHA","41198","1958","","Bureau of Meteorology","-27.1464","151.3033","364.0"
"THE PARK","41199","1959","2004","Bureau of Meteorology","-27.2625","151.6297","457.0"
"TALMOI","41200","1958","2003","Bureau of Meteorology","-27.0278","151.3139","381.0"
"TALGAI WEST","41201","1959","1965","Bureau of Meteorology","-28.0333","151.9","463.0"
"TALGAI","41202","1958","","Bureau of Meteorology","-27.0203","151.7114","544.0"
"SYLVAN LEA","41203","1958","1974","Bureau of Meteorology","-26.8667","151.2333","390.0"
"SUMMER HILL","41204","1959","1965","Bureau of Meteorology","-27.9667","151.7167","433.0"
"STRATHYRE","41205","1959","2005","Bureau of Meteorology","-28.1203","151.4725","469.4"
"STRATHDON","41206","1959","1999","Bureau of Meteorology","-28.1033","151.6","457.0"
"SPRINGDALE","41207","1959","1973","Bureau of Meteorology","-28.2333","152.2833","579.0"
"SPRING CREEK","41208","1959","","Bureau of Meteorology","-28.3542","152.3392","609.6"
"SORRENTO","41209","1959","","Bureau of Meteorology","-28.4807","151.8857","839.0"
"SHARRON","41210","1958","1962","Bureau of Meteorology","-26.8167","151.3167","433.0"
"RUSSELLVALE","41211","1958","1964","Bureau of Meteorology","-27.0","151.5167","463.0"
"ROSALIE PLAINS","41212","1954","","Bureau of Meteorology","-27.2074","151.6764","475.0"
"ROCKLEA","41213","1959","1964","Bureau of Meteorology","-28.2167","151.95","463.0"
"ROCKDALE","41214","1959","1963","Bureau of Meteorology","-28.2167","151.6167","518.0"
"RIVERVIEW HOPELAND","41215","1958","","Bureau of Meteorology","-26.8147","150.6875","313.0"
"RIVERSIDE","41216","1959","2005","Bureau of Meteorology","-28.0333","152.0519","494.8"
"RINGUINEA","41217","1959","2003","Bureau of Meteorology","-26.9322","151.5272","575.0"
"RHODES PARK","41218","1959","1971","Bureau of Meteorology","-28.0","151.3","500.0"
"REDBANK","41219","1959","","Bureau of Meteorology","-27.9936","151.5542","414.0"
"QUINALOW POST OFFICE","41220","1912","1976","Bureau of Meteorology","-27.1167","151.6167","451.0"
"KARAWATHA PARK","41221","1958","1996","Bureau of Meteorology","-27.2481","150.94","372.0"
"TARRAWONGA","41222","1959","1996","Bureau of Meteorology","-27.7667","151.85","521.0"
"THE GLEN","41223","1959","2006","Bureau of Meteorology","-28.2928","151.9447","509.0"
"TYLUNGA","41224","1958","1973","Bureau of Meteorology","-27.2","151.0167","371.9"
"MIRRABOOKA","41225","1959","","Bureau of Meteorology","-27.8393","152.0615","506.0"
"MILLVALE","41226","1959","1991","Bureau of Meteorology","-27.9","152.0","510.5"
"WILLOWVALE","41227","1959","1983","Bureau of Meteorology","-28.15","152.0333","600.0"
"MELMERE","41228","1959","1974","Bureau of Meteorology","-28.0333","152.15","543.0"
"MARYVALE","41229","1959","","Bureau of Meteorology","-28.0775","152.2625","570.0"
"LIMEVALE TM","41230","2000","","Bureau of Meteorology","-28.7208","151.1825","320.0"
"LYNDON PARK","41231","1958","1964","Bureau of Meteorology","-27.1167","151.2333","354.0"
"CARAMANA","41232","1958","1966","Bureau of Meteorology","-26.95","150.8833","328.0"
"ELBOW VALLEY POST OFFICE","41233","1959","1969","Bureau of Meteorology","-28.4","152.15","485.0"
"LOCH LOMOND","41234","1958","1992","Bureau of Meteorology","-28.3133","152.2067","493.8"
"LOCH LOMOND","41235","1958","1960","Bureau of Meteorology","-27.3","151.0333","343.0"
"WESTFIELDS","41236","1958","2003","Bureau of Meteorology","-27.2447","151.1683","340.0"
"MACQUARIE DOWNS WEST","41237","1959","1970","Bureau of Meteorology","-27.9333","151.4667","421.0"
"MYRTLE GROVE","41238","1959","1970","Bureau of Meteorology","-28.4333","152.1","597.0"
"MYALL PARK","41239","1959","1961","Bureau of Meteorology","-27.2167","151.3333","362.7"
"HEREWARD","41240","1959","","Bureau of Meteorology","-27.1858","151.1419","340.0"
"MYRA PARK","41241","1958","1960","Bureau of Meteorology","-27.1167","151.5667","423.7"
"LITTLE RIDGE","41242","1958","","Bureau of Meteorology","-27.018","151.6349","532.0"
"MOUNT MOWBULLAN","41243","1959","1978","Bureau of Meteorology","-26.8833","151.6","1012.0"
"MOUNT LEINSTER","41244","1958","2014","Bureau of Meteorology","-27.1356","151.3967","391.0"
"PRESTON","41245","1959","1963","Bureau of Meteorology","-27.6333","151.9667","585.2"
"PLYNLIMON","41246","1959","1967","Bureau of Meteorology","-28.0","152.2667","576.1"
"PLAINVIEW","41247","1959","1972","Bureau of Meteorology","-28.1833","151.7667","479.0"
"MAR-LEE","41248","1959","","Bureau of Meteorology","-27.0475","151.1408","346.0"
"EKSUN DOWNS","41249","1959","","Bureau of Meteorology","-28.0136","151.3947","427.0"
"PAMPAS","41250","1959","","Bureau of Meteorology","-27.7894","151.4133","390.0"
"PALGROVE","41251","1959","","Bureau of Meteorology","-28.4311","151.8231","765.0"
"GOWRIE PARK","41252","1958","1983","Bureau of Meteorology","-26.95","151.15","354.0"
"OAKDENE","41253","1959","1974","Bureau of Meteorology","-27.95","152.0333","533.4"
"NOOLA PLAINS","41254","1958","2001","Bureau of Meteorology","-26.795","150.8333","329.2"
"NIOKA","41255","1958","1961","Bureau of Meteorology","-26.95","151.2833","381.0"
"NAVILLOWEEN","41256","1959","","Bureau of Meteorology","-27.8149","151.9855","469.0"
"KUPUNN","41257","1958","","Bureau of Meteorology","-27.2308","151.1022","341.0"
"KOORIANDA","41258","1958","1995","Bureau of Meteorology","-27.0167","151.4367","447.0"
"CLINTONVALE","41259","1959","","Bureau of Meteorology","-28.0719","152.1297","497.0"
"KIA ORA","41260","1959","1964","Bureau of Meteorology","-28.1","151.9667","487.7"
"KIA ORA","41261","1947","","Bureau of Meteorology","-27.1156","150.765","360.0"
"KEWARRA","41262","1959","1975","Bureau of Meteorology","-28.15","152.3333","600.0"
"KENSTAN","41263","1959","1977","Bureau of Meteorology","-27.75","151.7","466.0"
"KENNERLY","41264","1958","2003","Bureau of Meteorology","-26.8194","151.0497","363.0"
"KAUMARA","41265","1958","1962","Bureau of Meteorology","-26.8","151.3667","475.5"
"LILLINGSTONE","41266","1959","","Bureau of Meteorology","-27.0706","151.3731","398.0"
"HILLVIEW","41267","1959","1974","Bureau of Meteorology","-27.85","152.1333","585.2"
"HILLSIDE","41268","1959","1976","Bureau of Meteorology","-28.0167","151.9","450.0"
"HILLSIDE","41269","1958","1985","Bureau of Meteorology","-27.1333","151.7167","518.0"
"GUNBOWER","41270","1907","","Bureau of Meteorology","-27.8242","151.5803","408.0"
"GRAHAMVILLE","41271","1958","","Bureau of Meteorology","-27.0789","151.6529","483.0"
"GARDENFLOE","41272","1919","1964","Bureau of Meteorology","-28.15","151.7","457.0"
"GLENVALE","41273","1959","1969","Bureau of Meteorology","-28.2667","151.9167","475.5"
"GLENRAE","41274","1959","2003","Bureau of Meteorology","-28.3144","152.1142","481.6"
"GLENROY MASSIE","41275","1959","","Bureau of Meteorology","-28.1469","151.9253","457.0"
"GLENRIVE","41276","1959","","Bureau of Meteorology","-27.9292","152.1606","622.0"
"GLENROY","41277","1958","","Bureau of Meteorology","-26.7675","151.2075","408.0"
"GLENOLIVE","41278","1959","1964","Bureau of Meteorology","-27.9167","151.8167","448.1"
"GLENMORE","41279","1959","1975","Bureau of Meteorology","-28.1667","152.3","548.6"
"NIELSTON PARK","41280","1958","1973","Bureau of Meteorology","-27.3167","151.3833","362.7"
"GLEN EDEN","41281","1959","1964","Bureau of Meteorology","-28.45","152.0333","755.9"
"GLENCOE","41282","1958","1962","Bureau of Meteorology","-27.0333","151.2333","347.5"
"DAYBREAK","41283","1958","2009","Bureau of Meteorology","-27.2592","151.2908","349.0"
"FERNDALE","41284","1959","1969","Bureau of Meteorology","-27.0167","150.8","323.1"
"FAIRLEIGH","41285","1959","","Bureau of Meteorology","-28.3272","151.845","603.0"
"ESKDALE","41286","1958","1968","Bureau of Meteorology","-26.8667","151.4667","560.8"
"ERROL PARK","41287","1959","1968","Bureau of Meteorology","-26.9167","151.55","454.2"
"EMDHRUO","41288","1958","1968","Bureau of Meteorology","-26.8167","150.6","344.4"
"EDDINGTON","41289","1959","1972","Bureau of Meteorology","-28.2833","151.7167","646.2"
"ELINORE","41290","1958","1963","Bureau of Meteorology","-27.2","151.4","365.8"
"EHLMA PARK","41291","1958","","Bureau of Meteorology","-26.8736","150.8689","314.0"
"SHARPE","41292","1958","1994","Bureau of Meteorology","-27.1481","151.4614","375.0"
"ELLERBY","41293","1959","1968","Bureau of Meteorology","-27.9167","151.6","420.6"
"EAST LYNNE","41294","1959","1970","Bureau of Meteorology","-28.5167","152.0167","853.4"
"DEVONIA","41295","1958","1995","Bureau of Meteorology","-26.8667","150.9167","329.0"
"DEER PARK","41296","1959","1965","Bureau of Meteorology","-28.3333","152.0667","506.0"
"DAANDINE","41297","1905","","Bureau of Meteorology","-27.0981","150.9786","331.0"
"CULLENDORE","41298","1959","1966","Bureau of Meteorology","-28.4333","152.2167","579.1"
"CRANBROOK","41299","1959","1964","Bureau of Meteorology","-27.7833","151.4667","394.7"
"CREGMORE","41300","1958","1968","Bureau of Meteorology","-26.9833","151.3833","411.5"
"CORELLA","41301","1958","1963","Bureau of Meteorology","-26.8333","150.9333","341.4"
"COONEAH","41302","1958","1965","Bureau of Meteorology","-27.3333","151.25","335.3"
"COMMODORE PEAK","41303","1959","1966","Bureau of Meteorology","-27.9167","151.2333","499.9"
"CLARE HILLS","41304","1959","2003","Bureau of Meteorology","-28.3219","151.7847","585.2"
"CARONDALE","41305","1959","1979","Bureau of Meteorology","-28.3375","151.93","600.0"
"TOSARI","41306","1959","","Bureau of Meteorology","-27.8628","151.4536","399.3"
"CARINGA","41307","1958","1964","Bureau of Meteorology","-26.7667","150.7","356.6"
"CAPOWIE","41308","1958","1983","Bureau of Meteorology","-26.9283","150.6733","344.4"
"BANYAVIEW","41309","1958","1969","Bureau of Meteorology","-27.2833","151.5167","390.1"
"KUYURA","41310","1958","","Bureau of Meteorology","-26.8886","151.2006","377.0"
"BUDGEE PARK","41311","1959","1963","Bureau of Meteorology","-27.7833","152.0333","501.4"
"BROADWATER LAGOON","41312","1958","1966","Bureau of Meteorology","-27.3667","151.1","347.5"
"BROADMEAD","41313","1958","1973","Bureau of Meteorology","-27.0","151.0333","325.0"
"BROOKSTEAD POST OFFICE","41314","1958","","Bureau of Meteorology","-27.7578","151.4483","388.3"
"BRIGALOW PARK","41315","1959","","Bureau of Meteorology","-28.1064","151.5689","457.2"
"BRIGALOW PARK","41316","1958","1984","Bureau of Meteorology","-26.65","151.15","396.0"
"BUNDALEER","41317","1958","","Bureau of Meteorology","-27.0728","151.4186","395.0"
"CARRAMAR","41318","1959","","Bureau of Meteorology","-27.9683","151.3417","440.0"
"DORA PARK","41319","1958","2003","Bureau of Meteorology","-27.0644","151.5058","390.1"
"BOGAROO","41320","1958","1977","Bureau of Meteorology","-27.1333","151.0167","363.0"
"BIANCHRE","41321","1959","1964","Bureau of Meteorology","-28.4333","151.9667","807.7"
"BEVERLY HILLS","41322","1959","1969","Bureau of Meteorology","-28.2833","152.2833","649.2"
"MANDALA","41323","1959","","Bureau of Meteorology","-28.0187","152.2861","586.0"
"BLINK BONNIE","41324","1959","1963","Bureau of Meteorology","-28.05","151.7","442.0"
"RUSSELL PARK","41325","1958","1984","Bureau of Meteorology","-26.75","151.0167","348.0"
"BANCHORY","41326","1959","1963","Bureau of Meteorology","-27.7","151.7833","472.4"
"BAIRNSDALE","41327","1959","","Bureau of Meteorology","-27.7694","151.7732","478.0"
"ALFALFA","41328","1959","2001","Bureau of Meteorology","-27.9778","151.5592","408.0"
"WOODSIDE","41329","1959","1996","Bureau of Meteorology","-27.9333","151.305","434.3"
"TWOFOLD","41330","1960","1981","Bureau of Meteorology","-26.9167","150.75","332.0"
"VENTURA","41331","1958","1963","Bureau of Meteorology","-27.05","150.8667","326.1"
"AKUNA","41332","1959","1963","Bureau of Meteorology","-28.0667","152.35","640.1"
"RODGERS CREEK","41333","1959","1964","Bureau of Meteorology","-28.2","151.8167","493.8"
"ROKEBY","41334","1959","2003","Bureau of Meteorology","-28.3633","152.075","682.8"
"GUMBUBAL","41335","1959","1968","Bureau of Meteorology","-28.2167","152.4167","914.4"
"BUNYA PARK","41336","1959","1963","Bureau of Meteorology","-26.95","151.6167","551.7"
"MELROSE","41337","1958","1975","Bureau of Meteorology","-26.65","151.35","481.0"
"BALLANDEAN POST OFFICE","41338","1967","","Bureau of Meteorology","-28.8011","151.8421","720.0"
"LOUDOUN BRIDGE","41339","1921","","Bureau of Meteorology","-27.2136","151.1858","343.0"
"INGLEWOOD FORESTRY","41340","1971","2011","Bureau of Meteorology","-28.4203","151.0739","287.0"
"INGLEWOOD TOBACCO RES","41341","1958","1985","Bureau of Meteorology","-28.5","150.9333","265.0"
"TUMMAVILLE","41342","1927","","Bureau of Meteorology","-27.8717","151.5103","381.0"
"YANGAN","41343","1887","","Bureau of Meteorology","-28.2006","152.2156","496.0"
"KARARA","41344","1968","","Bureau of Meteorology","-28.2075","151.5608","480.0"
"ALLORA","41345","1883","","Bureau of Meteorology","-28.0367","151.9867","464.0"
"RANGES BRIDGE","41346","1946","","Bureau of Meteorology","-27.1228","151.0908","324.0"
"WHYALLA","41347","1969","2011","Bureau of Meteorology","-28.7447","151.02","260.0"
"WYAGA TM","41348","2000","","Bureau of Meteorology","-28.1667","150.6444","267.0"
"MUNDAGAI","41349","1969","","Bureau of Meteorology","-27.7339","150.5789","297.0"
"GOONDIWINDI","41350","1964","","Bureau of Meteorology","-28.5514","150.3086","208.0"
"CHINCHILLA","41351","1943","","Bureau of Meteorology","-26.7417","150.6208","295.0"
"CLIFTON","41352","1931","","Bureau of Meteorology","-27.9286","151.86","422.0"
"KINGS CREEK 1 RAINFALL","41353","1923","1959","Bureau of Meteorology","-27.8833","151.9","421.8"
"ARDENLEA","41354","1968","1984","Bureau of Meteorology","-28.8333","151.4833","450.0"
"MARYLAND","41355","1877","1890","Bureau of Meteorology","-28.5","152.0667","780.3"
"CAMBOOYA","41356","1887","1982","Bureau of Meteorology","-27.7067","151.8617","487.0"
"WARWICK","41357","1921","","Bureau of Meteorology","-28.2111","152.0275","443.0"
"TIPTON BRIDGE","41358","1968","","Bureau of Meteorology","-27.4417","151.2567","339.0"
"OAKEY AERO","41359","1970","","Bureau of Meteorology","-27.4034","151.7413","405.7"
"BENGALLA","41360","1928","","Bureau of Meteorology","-28.655","150.6667","227.9"
"PITTSWORTH DPI","41361","1970","1984","Bureau of Meteorology","-27.7167","151.6292","520.0"
"TARTHA","41362","1971","","Bureau of Meteorology","-27.7161","150.2244","258.3"
"MEDPARK","41363","1971","1986","Bureau of Meteorology","-28.3","150.3167","211.0"
"RETREAT","41364","1973","","Bureau of Meteorology","-27.8664","150.3783","260.0"
"PIKEDALE TM","41365","2000","","Bureau of Meteorology","-28.6514","151.6336","560.0"
"GIDDI GIDDI SOUTH","41366","1955","","Bureau of Meteorology","-28.4036","150.0483","196.0"
"COOMURRI","41367","1972","1987","Bureau of Meteorology","-28.3833","150.3167","210.0"
"TARTHA","41368","1964","","Bureau of Meteorology","-27.7161","150.2244","260.0"
"MOYOLA","41369","1972","","Bureau of Meteorology","-27.5233","151.8819","559.0"
"YAGABURNE","41370","1920","","Bureau of Meteorology","-28.1236","150.5431","260.0"
"MELVA","41371","1920","","Bureau of Meteorology","-28.4577","151.6817","699.0"
"LINSALEA","41372","1922","2002","Bureau of Meteorology","-28.0067","151.2767","500.0"
"CALM DOWNS","41373","1960","2007","Bureau of Meteorology","-28.8819","151.5128","488.0"
"DUNMORE","41374","1922","1971","Bureau of Meteorology","-27.65","150.9167","343.0"
"COLUMBA","41375","1938","2012","Bureau of Meteorology","-28.2364","151.4233","400.0"
"WARROO STATION","41376","1909","","Bureau of Meteorology","-28.5389","151.3481","350.0"
"TUMMURRAMI","41377","1936","","Bureau of Meteorology","-28.3415","151.5369","489.0"
"RIVERLEA","41378","1954","1981","Bureau of Meteorology","-26.9667","150.85","314.0"
"AVONDALE","41379","1968","2000","Bureau of Meteorology","-28.2683","151.5583","560.0"
"SWANFELS UPPER","41380","1919","1964","Bureau of Meteorology","-28.1333","152.4167","741.0"
"MELROSE","41381","1929","1956","Bureau of Meteorology","-28.35","152.2167","555.0"
"RIVERTON","41382","1920","1954","Bureau of Meteorology","-29.0","151.5167","360.0"
"MINGOOLA","41383","1890","1953","Bureau of Meteorology","-28.9167","151.5167","508.0"
"LESBROOK","41384","1912","1966","Bureau of Meteorology","-28.4833","151.2333","310.0"
"WHETSTONE WEIR","41385","1899","1955","Bureau of Meteorology","-28.4667","150.95","250.0"
"BOONDANDILLA","41386","1932","1961","Bureau of Meteorology","-27.9","150.6","308.0"
"ROCKY MOUNTAIN","41387","1926","1957","Bureau of Meteorology","-28.25","152.35","728.0"
"MURRALAH","41388","1952","","Bureau of Meteorology","-28.055","151.3297","500.0"
"PIKES CREEK","41389","1941","1982","Bureau of Meteorology","-28.6783","151.5789","550.0"
"DUNBLAINE","41390","1936","2003","Bureau of Meteorology","-28.3397","151.3942","369.0"
"WOODSPRING","41391","1954","","Bureau of Meteorology","-28.3611","151.1464","300.0"
"MARMADUA FORESTRY","41392","1948","1990","Bureau of Meteorology","-27.42","150.635","330.0"
"TERRICA STATION","41393","1962","1980","Bureau of Meteorology","-28.5167","151.4833","432.0"
"ABERDEEN","41394","1973","2004","Bureau of Meteorology","-28.0636","150.6236","300.0"
"GLENARADALE","41395","1958","","Bureau of Meteorology","-28.17","150.4503","210.0"
"GLEN APLIN","41396","1914","1976","Bureau of Meteorology","-28.7333","151.8833","762.0"
"BURILDA","41397","1959","","Bureau of Meteorology","-28.1422","150.1319","200.0"
"MINNA BILLA","41398","1961","1974","Bureau of Meteorology","-28.0","150.25","253.0"
"MERRILANDS","41399","1973","1975","Bureau of Meteorology","-28.4833","150.95","268.0"
"BIRRAGEELA","41400","1973","1981","Bureau of Meteorology","-27.3","151.4167","360.0"
"CARMDEN","41401","1973","1975","Bureau of Meteorology","-28.2167","151.7167","450.0"
"RIVERPARK","41402","1973","1984","Bureau of Meteorology","-28.2167","151.9667","457.0"
"TEXAS","41403","1968","","Bureau of Meteorology","-28.8692","151.1619","272.0"
"ELLANGOWAN","41404","1887","","Bureau of Meteorology","-27.9592","151.6664","403.0"
"FELTON","41405","1964","","Bureau of Meteorology","-27.7952","151.7387","428.0"
"INGLEWOOD BRIDGE","41406","1954","","Bureau of Meteorology","-28.4156","151.0839","272.5"
"TARA","41407","1911","1983","Bureau of Meteorology","-27.6","150.3667","35.0"
"GLEN ETIVE","41408","1963","2014","Bureau of Meteorology","-28.4992","151.2317","328.0"
"BERUNA","41409","1957","","Bureau of Meteorology","-26.6436","150.8547","311.0"
"CECIL PLAINS","41410","1947","","Bureau of Meteorology","-27.5356","151.2019","347.0"
"CHINCHILLA WEIR TW","41411","1924","","Bureau of Meteorology","-26.8","150.5753","285.0"
"DUNGORM","41412","1926","","Bureau of Meteorology","-28.2969","151.5181","500.0"
"RUSSENDEN","41414","1950","1974","Bureau of Meteorology","-28.9167","151.45","470.0"
"WARAHGAI TM","41415","2000","","Bureau of Meteorology","-28.2367","151.5347","488.0"
"AUGHAMORE","41416","1929","1991","Bureau of Meteorology","-27.5744","151.7267","506.0"
"WEST PRAIRIE","41417","1974","1978","Bureau of Meteorology","-27.9333","151.5","375.0"
"KYURA","41418","1911","1915","Bureau of Meteorology","-26.8833","151.2","356.0"
"KARUMBUL STATE SCHOOL","41419","1914","1934","Bureau of Meteorology","-28.6167","150.55","238.0"
"HOMEBUSH","41420","1917","1932","Bureau of Meteorology","-28.5333","151.3","364.0"
"CABARLAH RAILWAY STATION","41421","1894","1912","Bureau of Meteorology","-27.4333","151.9833","588.0"
"PILTON POST OFFICE","41422","1893","1934","Bureau of Meteorology","-27.8667","152.05","504.0"
"PALOMAR","41423","1927","1938","Bureau of Meteorology","-28.25","151.1667","329.0"
"MORNA LEA","41424","1913","1925","Bureau of Meteorology","-27.0333","151.4667","408.0"
"HAPPY VALLEY","41425","1912","1933","Bureau of Meteorology","-27.5","151.6333","408.0"
"INVERRAMSAY SCHOOL","41426","1914","1929","Bureau of Meteorology","-28.0167","152.2333","617.0"
"MONT KEMMEL","41427","1926","1936","Bureau of Meteorology","-27.2833","150.5","322.0"
"ELLANGOWAN STATION","41429","1888","1911","Bureau of Meteorology","-27.9333","151.6167","409.0"
"GLENLYON DAM","41430","1974","","Bureau of Meteorology","-28.9653","151.47","438.0"
"KINCORA","41431","1893","1900","Bureau of Meteorology","-27.8167","151.55","406.0"
"INGLEWOOD","41432","1912","1919","Bureau of Meteorology","-28.1667","151.2","334.0"
"FORMARTIN","41433","1913","1917","Bureau of Meteorology","-27.4","151.4167","360.0"
"AUBYNLEA","41434","1958","1972","Bureau of Meteorology","-28.1167","151.6","444.0"
"TOLLANDO","41435","1960","1972","Bureau of Meteorology","-28.7167","151.5333","598.0"
"MULGOWAN","41436","1921","1941","Bureau of Meteorology","-28.5333","151.7333","711.0"
"FAIRYLAND","41437","1914","1941","Bureau of Meteorology","-26.5167","150.9167","336.0"
"SILVERWOOD DAM","41438","1974","","Bureau of Meteorology","-28.3527","152.0","563.0"
"SILVERWOOD","41439","1914","1946","Bureau of Meteorology","-28.35","152.0167","583.0"
"BEEBO","41440","1915","1970","Bureau of Meteorology","-28.7333","150.9667","270.0"
"LUNA","41441","1925","1969","Bureau of Meteorology","-28.4333","151.3833","364.0"
"TERRAINE","41442","1928","1968","Bureau of Meteorology","-28.4833","151.2833","327.0"
"KAINAMA","41443","1946","1964","Bureau of Meteorology","-27.0167","150.7167","347.0"
"LONG CROSSING","41444","1924","1965","Bureau of Meteorology","-28.3333","152.35","692.0"
"LESLIE DAM","41445","1915","","Bureau of Meteorology","-28.2144","151.9194","478.0"
"NERAGA","41446","1942","1957","Bureau of Meteorology","-27.55","151.3833","364.0"
"LOGAN CRAIL","41447","1930","1950","Bureau of Meteorology","-28.45","151.4833","432.0"
"BALLANCAR","41448","1938","1956","Bureau of Meteorology","-28.2","151.3333","378.0"
"FREESTONE UPPER","41449","1920","1950","Bureau of Meteorology","-28.1333","152.2","583.0"
"KYOMA","41450","1951","1972","Bureau of Meteorology","-28.3","151.25","329.0"
"THE HIGHLANDS","41451","1916","1961","Bureau of Meteorology","-28.4","152.25","553.0"
"GOWRIE STATION 2","41452","1887","1902","Bureau of Meteorology","-27.5","151.8167","462.0"
"LUMEAH","41453","1939","1961","Bureau of Meteorology","-28.9667","151.5333","424.0"
"GIRRAWEEN NAT PARK","41454","1974","","Bureau of Meteorology","-28.8335","151.9374","885.0"
"THE LAURELS","41455","1889","1898","Bureau of Meteorology","-27.5667","151.9667","622.0"
"CUNNINGHAMS GAP NATIONAL PARK","41456","1976","","Bureau of Meteorology","-28.0621","152.3675","680.0"
"COOLMUNDA DAM","41457","1976","","Bureau of Meteorology","-28.4225","151.213","321.0"
"WEETWOOD","41458","1896","1942","Bureau of Meteorology","-27.5667","151.9333","676.0"
"SHADWELL PARK","41459","1961","2001","Bureau of Meteorology","-26.4997","151.0772","380.0"
"MOUNT EMLYN SCHOOL","41460","1927","1936","Bureau of Meteorology","-28.0333","151.35","460.0"
"TOOLBURRA SOUTH","41461","1890","1900","Bureau of Meteorology","-28.2167","151.8167","478.0"
"KAIYUTA","41462","1921","1926","Bureau of Meteorology","-27.1","150.5833","323.0"
"KILLARNEY","41463","1916","","Bureau of Meteorology","-28.3394","152.2944","507.0"
